case_id,invalid_category,mutation,detected,detection_stage,message,user_visible_diagnostic,import_rejected,accepted_silently,unhandled_exception,previous_state_preserved,partial_or_inconsistent_state,notes,status,acceptance,explicit_validation_messages,previous_asset_content_preserved
malformed_json,Parsing JSON,Remove final root closing brace,True,JSON parsing/deserialization (single JsonUtility call),JSON parse error: Missing a comma or '}' after an object member.,"exception escapes UI caller; harness captured it, natural Console presentation not exercised",True,False,True,True,False,"Import detection excludes explicit Validate, oracle discrepancies and export diagnostics. Previous state means the active project AND its content; original asset checked separately. Runtime/generation not executed.",production_exception,not installed,[],True
missing_required,Required field,Remove GameName,False,not detected during import/reconstruction,,none,False,True,False,False,False,"Import detection excludes explicit Validate, oracle discrepancies and export diagnostics. Previous state means the active project AND its content; original asset checked separately. Runtime/generation not executed.",completed,installed and visually reconstructed,"[""Game name is required""]",True
missing_actor,Actor reference,EvalActor000.Health -> MissingActor.Health,False,not detected during import/reconstruction,,none,False,True,False,False,False,"Import detection excludes explicit Validate, oracle discrepancies and export diagnostics. Previous state means the active project AND its content; original asset checked separately. Runtime/generation not executed.",completed,installed and visually reconstructed,[],True
missing_property,Property reference,Health -> MissingProperty in Edit target,False,not detected during import/reconstruction,,none,False,True,False,False,False,"Import detection excludes explicit Validate, oracle discrepancies and export diagnostics. Previous state means the active project AND its content; original asset checked separately. Runtime/generation not executed.",completed,installed and visually reconstructed,[],True
unsupported_action,Action,Edit -> NoSuchAction,False,not detected during import/reconstruction,,none,False,True,False,False,True,"Import detection excludes explicit Validate, oracle discrepancies and export diagnostics. Previous state means the active project AND its content; original asset checked separately. Runtime/generation not executed.",completed,installed; visual failure or discrepancy,[],True
invalid_parameter,Parameter/type,Numeric expression 1 -> ),False,not detected during import/reconstruction,,none,False,True,False,False,False,"Import detection excludes explicit Validate, oracle discrepancies and export diagnostics. Previous state means the active project AND its content; original asset checked separately. Runtime/generation not executed.",completed,installed and visually reconstructed,[],True
